market_rank,title,developer,price_usd,market_id,market_url,stars
160,PAC-MAN Championship Edition,Namco Networks,$4.99,namco.pacman.ce,https://market.android.com/details?id=namco.pacman.ce,3.8
161,Cocktail Frenzy,Ndroidz Software,$2.99,cocktailfull.ndroidz.com,https://market.android.com/details?id=cocktailfull.ndroidz.com,4.0
162,Snipe,"Roboconn Mobile Solutions, LLC",$1.99,com.roboconn.snipepro,https://market.android.com/details?id=com.roboconn.snipepro,4.3
163,Worms,2.	Electronic Arts Nederland B.V.,$3.05,com.ea.worms_row,https://market.android.com/details?id=com.ea.worms_row,2.8
164,Pokedex,Stephen Willey,$2.40,uk.co.esstec.android.pokedex,https://market.android.com/details?id=uk.co.esstec.android.pokedex,4.6
165,Virtual Table Tennis 3D,Clapfoot Games,$2.02,com.clapfootgames.vtt3d,https://market.android.com/details?id=com.clapfootgames.vtt3d,3.9
166,Crosswords,"Stand Alone, Inc.",$9.99,com.standalone.Crosswords,https://market.android.com/details?id=com.standalone.Crosswords,4.2
167,Word Mix,Greenrift Software LLC,$0.99,com.greenrift.wordmix,https://market.android.com/details?id=com.greenrift.wordmix,4.4
168,Pocket Racing,measuredsoftware.co.uk,$3.21,com.measuredsoftware.android.pocketracing,https://market.android.com/details?id=com.measuredsoftware.android.pocketracing,4.5
169,Flick Kick Rugby,Pik Pok,$0.93,com.pikpok.kik,https://market.android.com/details?id=com.pikpok.kik,4.5
170,Magic Gem,wuzla,$1.99,com.xTouch.game.GemMagic_Paid,https://market.android.com/details?id=com.xTouch.game.GemMagic_Paid,4.4
171,Air Hockey,JJCgames,$0.81,com.jjcgames.android.airhockey,https://market.android.com/details?id=com.jjcgames.android.airhockey,4.2
172,Scrabble Helper Unlock Key,highlycaffeinatedcode,$1.48,com.highlycaffeinatedcode.scrabblehelper.unlocker,https://market.android.com/details?id=com.highlycaffeinatedcode.scrabblehelper.unlocker,4.1
173,Nose Candy,FDP Games,$0.99,com.fdp.nosecandy,https://market.android.com/details?id=com.fdp.nosecandy,4.3
174,ExZeus Arcade,HyperDevbox,$4.42,com.hyperdevbox.exzeus,https://market.android.com/details?id=com.hyperdevbox.exzeus,4.3
175,Wheelz - 2d physics platformer,Chozabu,$2.31,com.chozabu.android.BikeGame,https://market.android.com/details?id=com.chozabu.android.BikeGame,4.5
176,BreakTheBlocks Full,snctlnSoftware,$1.99,com.snctln.game.BreakTheBlocksFull,https://market.android.com/details?id=com.snctln.game.BreakTheBlocksFull,4.3
177,Leprecoin Slot Machine,Phantom EFX,$1.99,com.phantomefx.leprecoin,https://market.android.com/details?id=com.phantomefx.leprecoin,3.3
178,Archipelago,Awesome Android Apps,$2.99,com.sgg.archipelago,https://market.android.com/details?id=com.sgg.archipelago,4.5
179,Zooland Slot Machine,Phantom EFX,$1.99,com.phantomefx.zooland,https://market.android.com/details?id=com.phantomefx.zooland,4.4
180,Indian Spirit Slot Machine,Phantom EFX,$1.99,com.phantomefx.indianspirit,https://market.android.com/details?id=com.phantomefx.indianspirit,4.0
181,Dominoes,Polyclef Software,$1.99,com.dominoes,https://market.android.com/details?id=com.dominoes,4.0
182,Aztec Sun Slot Machine,Phantom EFX,$1.99,com.phantomefx.aztecsun,https://market.android.com/details?id=com.phantomefx.aztecsun,4.2
183,The Simsâ¢ 3,2.	Electronic Arts Nederland B.V.,$5.28,com.eamobile.sims3_row_qwf,https://market.android.com/details?id=com.eamobile.sims3_row_qwf,3.5
184,Fish Tycoon,"Last Day of Work, LLC",$1.99,com.ldw.android.fishtycoon,https://market.android.com/details?id=com.ldw.android.fishtycoon,3.9
185,Fun-Putt Mini Golf Game,Seltice Systems LLC,$0.99,com.selticeapps.funfunminigolf,https://market.android.com/details?id=com.selticeapps.funfunminigolf,4.3
186,Armored Defense,ArmoredSoft,$3.92,com.armoredsoft.android.armoreddefense.game,https://market.android.com/details?id=com.armoredsoft.android.armoreddefense.game,4.3
187,Hotel Mogul HD,"Alawar Entertainment, Inc.",$2.99,com.casualforge.HotelMogulHD,https://market.android.com/details?id=com.casualforge.HotelMogulHD,4.2
188,Mobialia Chess,mobialia.com,$2.79,com.alonsoruibal.chessdroid,https://market.android.com/details?id=com.alonsoruibal.chessdroid,4.6
189,Raging Thunder,polarbit,$2.99,com.polarbit.ragingthunder,https://market.android.com/details?id=com.polarbit.ragingthunder,4.3
190,Garden Of Weeden,Gooey Web Solutions,$3.99,com.gooeywebsolutions.gardenOfWeeden,https://market.android.com/details?id=com.gooeywebsolutions.gardenOfWeeden,4.2
191,Roller,Camel Games,$0.99,com.camelgames.skeeball,https://market.android.com/details?id=com.camelgames.skeeball,3.7
192,Woodenigma,Jasotec GbR,$1.39,wood.enigma,https://market.android.com/details?id=wood.enigma,4.8
193,Armageddon Squadron,polarbit,$2.99,com.polarbit.asquadron,https://market.android.com/details?id=com.polarbit.asquadron,4.3
194,Millionaire 2010,Capcom Mobile,$2.99,com.capcom.mill2010,https://market.android.com/details?id=com.capcom.mill2010,4.1
195,Beatdown Boxing,"Requiem Software Labs, Inc",$3.99,com.requiem.boxing,https://market.android.com/details?id=com.requiem.boxing,4.4
196,BejeweledÂ® 2 by EA,Electronic Arts Inc.,$2.99,com.eamobile.bejeweled2_na_wf_vzw,https://market.android.com/details?id=com.eamobile.bejeweled2_na_wf_vzw,3.1
197,What the Doodle!?,Che,$3.21,com.che.wtd.client,https://market.android.com/details?id=com.che.wtd.client,4.4
198,Solipskier,Mikengreg,$2.99,com.mikengreg.solipskier,https://market.android.com/details?id=com.mikengreg.solipskier,4.1
199,Amtalee,frosteam,$2.99,com.frosteam.amtalee,https://market.android.com/details?id=com.frosteam.amtalee,4.6
200,Sporcle,"Sporcle, Inc",$1.99,com.sporcle,https://market.android.com/details?id=com.sporcle,4.2
