market_rank,title,developer,price_usd,market_id,market_url,stars,updated,app_version,android_version,category,installs,size
65,Pool Break Demo,Kinetic Bytes,$0.00,com.kb.Carrom3D,https://market.android.com/details?id=com.kb.Carrom3D,4.1,"March 19, 2011",1.7.7,1.5 and up,Arcade & Action,"500,000 - 1,000,000",2.3M
66,Andoku Sudoku,Markus Wiederkehr,$0.00,com.googlecode.andoku,https://market.android.com/details?id=com.googlecode.andoku,4.7,"March 29, 2011",1.3.3,1.5 and up,Brain & Puzzle,"500,000 - 1,000,000",578k
67,iBasket,Ideateca,$0.00,com.ideateca.android.ibasket,https://market.android.com/details?id=com.ideateca.android.ibasket,4.2,"September 17, 2010",0.5,1.5 - 2.2,Casual,"500,000 - 1,000,000",2.6M
68,Pinball,Magma Mobile,$0.00,com.nix.game.pinball.free,https://market.android.com/details?id=com.nix.game.pinball.free,3.7,"March 1, 2011",1.2.2,1.5 and up,Arcade & Action,"5,000,000 - 10,000,000",2.4M
69,Chess for Android,Aart Bik,$0.00,com.google.android.chess,https://market.android.com/details?id=com.google.android.chess,4.1,"February 28, 2011",2.7,1.1 and up,Brain & Puzzle,"5,000,000 - 10,000,000",210k
70,Reversi Free,AI Factory Limited,$0.00,uk.co.aifactory.rrfree,https://market.android.com/details?id=uk.co.aifactory.rrfree,4.4,"December 28, 2010",1.1,1.5 and up,Brain & Puzzle,"100,000 - 500,000",1.7M
71,Bubble Blast St Patrick's Day,Magma Mobile,$0.00,com.magmamobile.game.BubbleBlastPatricksDay,https://market.android.com/details?id=com.magmamobile.game.BubbleBlastPatricksDay,4.7,"March 11, 2011",1.0.1,1.5 and up,Brain & Puzzle,"100,000 - 500,000",4.6M
72,aTilt 3D Labyrinth Free,FridgeCat Software,$0.00,com.fridgecat.android.atiltlite,https://market.android.com/details?id=com.fridgecat.android.atiltlite,4.4,"March 9, 2011",1.4.6,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",2.9M
73,aTilt 3D Labyrinth Free,FridgeCat Software,$0.00,com.fridgecat.android.atiltlite,https://market.android.com/details?id=com.fridgecat.android.atiltlite,4.4,"March 9, 2011",1.4.6,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",2.9M
74,Mouse Trap,Magma Mobile,$0.00,com.magmamobile.game.mousetrap,https://market.android.com/details?id=com.magmamobile.game.mousetrap,4.3,"March 28, 2011",1.0.9,1.5 and up,Brain & Puzzle,"500,000 - 1,000,000",2.3M
